DELAY,sdfs,0.1,1,4,4
SPAWN_UNIT,Virus1,0.4,3,LeftFront,5.2
DELAY,1,3,1,,8.2
SPAWN_UNIT,Virus1,0.4,3,RightFront,9.4
DELAY,1,3,1,,12.4
SPAWN_UNIT,Virus1,0.4,3,MiddleLeft,13.6
DELAY,1,2,1,,15.6
SPAWN_UNIT,Virus1,0.4,3,MiddleRight,16.8
DELAY,1,5,1,,21.8
SPAWN_UNIT,Virus3,0.4,2,RightBalcony1,22.6
DELAY,1,1,1,,23.6
SPAWN_UNIT,Virus3,0.4,2,MiddleLeft,24.4
DELAY,1,3,1,,27.4
SPAWN_UNIT,Virus1,0.4,3,LeftFront,28.6
DELAY,1,3,1,,31.6
SPAWN_UNIT,Virus1,0.4,3,MiddleRight,32.8
DELAY,1,2,1,,34.8
SPAWN_UNIT,Virus1,0.4,3,CenterLeft,36
DELAY,1,5,1,,41
DELAY,1,5,1,,46
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,46.8
DELAY,1,1,1,,47.8
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,48.6
DELAY,1,1,1,,49.6
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,50.4
DELAY,1,1,1,,51.4
SPAWN_UNIT,Virus1,0.4,2,LeftFront,52.2
DELAY,1,1,1,,53.2
SPAWN_UNIT,Virus1,0.4,2,LeftFront,54
DELAY,1,1,1,,55
SPAWN_UNIT,Virus1,0.4,2,LeftFront,55.8
DELAY,1,5,1,,60.8
SPAWN_UNIT,Virus2,1,1,RoofRightFront,66.6
SPAWN_UNIT,Virus2,1,1,RoofLeftFront,67.6
SPAWN_UNIT,Virus2,1,1,RoofLeftMiddle,68.6
SPAWN_UNIT,Virus2,1,1,RoofRightMiddle,69.6
SPAWN_UNIT,Virus2,1,1,RoofRightFront,70.6
SPAWN_UNIT,Virus2,1,1,RoofLeftFront,71.6
SPAWN_UNIT,Virus4,0.4,4,BackdropLeft,62.4
SPAWN_UNIT,Virus4,0.4,4,BackdropRight,64
SPAWN_UNIT,Virus4,0.4,4,BackdropLeft,65.6
DELAY,1,0,1,,71.6
SPAWN_UNIT,Virus1,0.4,3,MiddleLeft,72.8
DELAY,1,3,1,,75.8
SPAWN_UNIT,Virus1,0.4,2,MiddleLeft,76.6
DELAY,1,2,1,,78.6
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,79.4
DELAY,1,5,1,,84.4
DELAY,1,5,1,,89.4
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,90.2
DELAY,1,0.5,1,,90.7
SPAWN_UNIT,Virus1,0.4,2,LeftFront,91.5
DELAY,1,0.5,1,,92
SPAWN_UNIT,Virus1,0.4,2,RightBalcony1,92.8
DELAY,1,0.5,1,,93.3
SPAWN_UNIT,Virus1,0.4,2,CenterLeft,94.1
DELAY,1,0.5,1,,94.6
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,95.4
DELAY,1,0.5,1,,95.9
SPAWN_UNIT,Virus1,0.4,2,MiddleLeft,96.7
DELAY,1,0.5,1,,97.2
SPAWN_UNIT,Virus1,0.4,2,RightBalcony1,98
DELAY,1,0.5,1,,98.5
SPAWN_UNIT,Virus1,0.4,2,LeftFront,99.3
DELAY,1,0.5,1,,99.8
SPAWN_UNIT,Virus1,0.4,2,MiddleRight,100.6
DELAY,1,0.5,1,,101.1
SPAWN_UNIT,Virus1,0.4,2,CenterLeft,101.9
DELAY,1,1,1,,102.9
SPAWN_UNIT,Virus6,0.4,1,RearLeft,103.3
SPAWN_UNIT,Virus6,0.3,1,RearCenter,103.6
SPAWN_UNIT,Virus6,0.3,1,RearRight,103.9
SPAWN_UNIT,Virus6,0.3,1,RearLeft,104.2
SPAWN_UNIT,Virus6,0.3,1,RearCenter,104.5
SPAWN_UNIT,Virus6,0.3,1,RearRight,104.8
SPAWN_UNIT,Virus6,0.3,1,RearLeft,105.1
SPAWN_UNIT,Virus6,0.3,1,RearCenter,105.4
SPAWN_UNIT,Virus6,0.3,1,RearRight,105.7
DELAY,1,10,1,,115.7
END_LEVEL,,0,1,91.7,
