DELAY,sdfs,0.1,1,4
SPAWN_UNIT,Virus1,0.3,6,7
SET_POSITION,,0.5,1,TestSpawner
DELAY,,3,1,14
SPAWN_UNIT,Virus2,0.3,5,TestSpawner
DELAY,,1,1,14
SPAWN_UNIT,,0.3,5,10
STOP_ROTATION,,0,1,14
SPAWN_UNIT,Virus3,0,1,14
Rotate_90,,0,1,14
SPAWN_UNIT,Virus3,0,1,14
Rotate_90,,0,1,14
SPAWN_UNIT,Virus3,0,1,14
Rotate_90,,0,1,14
SPAWN_UNIT,Virus3,0,1,14
Rotate_90,,0,1,14
START_ROTATION,,0,1,14
DELAY,,2,1,20
STOP_ROTATION,,0,1,20
SPAWN_UNIT,Virus4,0,1,20
Rotate_90,,0,1,20
SPAWN_UNIT,Virus4,0,1,20
Rotate_90,,0,1,20
SPAWN_UNIT,Virus4,0,1,20
Rotate_90,,0,1,20
SPAWN_UNIT,Virus4,0,1,20
Rotate_90,,0,1,20
START_ROTATION,,0,1,20
DELAY,,2,1,30
STOP_ROTATION,,0,1,30
SPAWN_UNIT,Virus5,0,1,30
Rotate_90,,0,1,30
SPAWN_UNIT,Virus5,0,1,30
Rotate_90,,0,1,30
SPAWN_UNIT,Virus5,0,1,30
Rotate_90,,0,1,30
SPAWN_UNIT,Virus5,0,1,30
Rotate_90,,0,1,30
Rotate_90,,0,1,30
START_ROTATION,,0.5,1,30.5
STOP_ROTATION,,0,1,30.5
SPAWN_UNIT,Virus6,0,1,30.5
Rotate_90,,0,1,30.5
SPAWN_UNIT,Virus6,0,1,30.5
Rotate_90,,0,1,30.5
SPAWN_UNIT,Virus6,0,1,30.5
Rotate_90,,0,1,30.5
SPAWN_UNIT,Virus6,0,1,30.5
Rotate_90,,0,1,30.5
START_ROTATION,,0.5,1,31
DELAY,,2,1,46
STOP_ROTATION,,0,1,46
SPAWN_UNIT,Virus6,0,1,46
Rotate_90,,0,1,46
SPAWN_UNIT,Virus6,0,1,46
Rotate_90,,0,1,46
SPAWN_UNIT,Virus6,0,1,46
Rotate_90,,0,1,46
SPAWN_UNIT,Virus6,0,1,46
Rotate_90,,0,1,46
Rotate_90,,0,1,46
START_ROTATION,,0.5,1,46.5
